n,x,y
1,660.559644169923,5506.99052197301
2,660.559644169923,5506.99052197301
3,705.531809559725,5530.71210261736
4,712.296163890772,5516.19498225232
5,684.466553398503,5537.13670085004
6,641.007862155259,5540.68875606475
7,706.458430241932,5532.81245246725
8,721.655073923186,5528.21021676785
9,702.381290344627,5507.85536275398
10,721.655073923186,5528.21021676785
11,693.115039044585,5517.12161405402
12,702.381290344627,5507.85536275398
13,706.396661460181,5504.30330753927
14,658.181307003415,5565.67672460915
15,654.969007887073,5556.16338706261
16,658.181307003415,5565.67672460915
17,682.335313597984,5517.89379610261
18,672.72930619958,5520.82810790234
19,659.602122417601,5556.2869357456
20,667.076901134979,5558.5108342785
21,667.076901134979,5558.5108342785
22,669.825884350472,5575.37540185942
23,672.72930619958,5520.82810790234
24,659.602122417601,5556.2869357456
25,684.528322180254,5552.92019799565
26,680.142305015715,5543.06709323125
27,669.578786984482,5508.75110460506
28,689.408545196264,5531.9476005668
29,689.408545196264,5528.58086281684
30,653.146645353788,5505.3843668551
31,658.181307003415,5565.67672460915
32,673.099952248565,5577.04332575909
33,673.099952248565,5577.04332575909
34,676.960895849995,5539.39147821406
35,674.706107366482,5547.29868288167
36,705.222932292492,5506.80519338878
37,698.767455228679,5508.38045855607
38,675.509179365694,5575.00474469094
39,680.142305015715,5511.56186772179
40,682.335313597984,5517.89379610261
41,683.848798864036,5515.26836157011
42,691.261797680171,5544.92034571516
43,691.261797680171,5544.92034571516
44,680.976266965549,5555.70007116176
45,689.501203928637,5508.68932470381
46,709.732509259518,5541.21384074735
47,661.177387584897,5571.36001962437
48,680.976266965549,5555.70007116176
49,660.714071684047,5556.71936169583
50,665.995830699663,5564.00880070948
51,710.350252674492,5525.43034360174
52,694.968291528492,5539.36059938293
53,694.968291528492,5539.36059938293
54,682.335313597984,5517.89379610261
55,643.355309371145,5553.53795253011
56,722.797913140254,5527.49980350101
57,677.733077898586,5543.56128796323
58,652.343573354575,5537.50734689902
